Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Windrichting;Windrichting eenheid;Bemonsteringshoogte;Referentievlak;
1-1-2022;22:40:00;Temperatuur Oppervlaktewater oC;Nes;5,7;oC;188,0;graden;-999999999;NVT;
1-1-2022;22:50:00;Temperatuur Oppervlaktewater oC;Nes;5,7;oC;188,4;graden;-999999999;NVT;
1-1-2022;23:00:00;Temperatuur Oppervlaktewater oC;Nes;5,7;oC;186,9;graden;-999999999;NVT;
1-1-2022;23:10:00;Temperatuur Oppervlaktewater oC;Nes;5,8;oC;187,7;graden;-999999999;NVT;
1-1-2022;23:20:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;189,3;graden;-999999999;NVT;
1-1-2022;23:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;191,2;graden;-999999999;NVT;
1-1-2022;23:40:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;185,6;graden;-999999999;NVT;
1-1-2022;23:50:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;184,4;graden;-999999999;NVT;
2-1-2022;00:00:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;188,0;graden;-999999999;NVT;
2-1-2022;00:10:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;193,4;graden;-999999999;NVT;
2-1-2022;00:20:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;195,1;graden;-999999999;NVT;
2-1-2022;00:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;192,8;graden;-999999999;NVT;
2-1-2022;00:40:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;192,2;graden;-999999999;NVT;
2-1-2022;00:50:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;192,4;graden;-999999999;NVT;
2-1-2022;01:00:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;193,5;graden;-999999999;NVT;
2-1-2022;01:10:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;195,5;graden;-999999999;NVT;
2-1-2022;01:20:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;196,3;graden;-999999999;NVT;
2-1-2022;01:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;203,3;graden;-999999999;NVT;
2-1-2022;01:40:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;206,6;graden;-999999999;NVT;
2-1-2022;01:50:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;215,3;graden;-999999999;NVT;
2-1-2022;02:00:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;213,8;graden;-999999999;NVT;
2-1-2022;02:10:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;211,5;graden;-999999999;NVT;
2-1-2022;02:20:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;207,8;graden;-999999999;NVT;
2-1-2022;02:30:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;201,9;graden;-999999999;NVT;
2-1-2022;02:40:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;195,9;graden;-999999999;NVT;
2-1-2022;02:50:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;192,5;graden;-999999999;NVT;
2-1-2022;03:00:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;188,5;graden;-999999999;NVT;
2-1-2022;03:10:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;188,1;graden;-999999999;NVT;
2-1-2022;03:20:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;190,8;graden;-999999999;NVT;
2-1-2022;03:30:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;192,2;graden;-999999999;NVT;
2-1-2022;03:40:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;193,0;graden;-999999999;NVT;
2-1-2022;03:50:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;197,8;graden;-999999999;NVT;
2-1-2022;04:00:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;200,1;graden;-999999999;NVT;
2-1-2022;04:10:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;198,1;graden;-999999999;NVT;
2-1-2022;04:20:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;194,2;graden;-999999999;NVT;
2-1-2022;04:30:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;193,0;graden;-999999999;NVT;
2-1-2022;04:40:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;191,9;graden;-999999999;NVT;
2-1-2022;04:50:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;197,1;graden;-999999999;NVT;
2-1-2022;05:00:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;205,1;graden;-999999999;NVT;
2-1-2022;05:10:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;205,3;graden;-999999999;NVT;
2-1-2022;05:20:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;202,8;graden;-999999999;NVT;
2-1-2022;05:30:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;197,6;graden;-999999999;NVT;
2-1-2022;05:40:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;200,3;graden;-999999999;NVT;
2-1-2022;05:50:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;202,4;graden;-999999999;NVT;
2-1-2022;06:00:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;202,5;graden;-999999999;NVT;
2-1-2022;06:10:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;202,3;graden;-999999999;NVT;
2-1-2022;06:20:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;202,6;graden;-999999999;NVT;
2-1-2022;06:30:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;203,2;graden;-999999999;NVT;
2-1-2022;06:40:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;200,4;graden;-999999999;NVT;
2-1-2022;06:50:00;Temperatuur Oppervlaktewater oC;Nes;6,3;oC;196,4;graden;-999999999;NVT;
2-1-2022;07:00:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;190,9;graden;-999999999;NVT;
2-1-2022;07:10:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;189,6;graden;-999999999;NVT;
2-1-2022;07:20:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;203,8;graden;-999999999;NVT;
2-1-2022;07:30:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;213,1;graden;-999999999;NVT;
2-1-2022;07:40:00;Temperatuur Oppervlaktewater oC;Nes;6,2;oC;221,5;graden;-999999999;NVT;
2-1-2022;07:50:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;224,3;graden;-999999999;NVT;
2-1-2022;08:00:00;Temperatuur Oppervlaktewater oC;Nes;6,1;oC;217,2;graden;-999999999;NVT;
2-1-2022;08:10:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;216,4;graden;-999999999;NVT;
2-1-2022;08:20:00;Temperatuur Oppervlaktewater oC;Nes;6,0;oC;216,6;graden;-999999999;NVT;
2-1-2022;08:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;213,5;graden;-999999999;NVT;
2-1-2022;08:40:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;208,9;graden;-999999999;NVT;
2-1-2022;08:50:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;208,1;graden;-999999999;NVT;
2-1-2022;09:00:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;201,5;graden;-999999999;NVT;
2-1-2022;09:10:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;200,7;graden;-999999999;NVT;
2-1-2022;09:20:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;206,1;graden;-999999999;NVT;
2-1-2022;09:30:00;Temperatuur Oppervlaktewater oC;Nes;5,9;oC;207,2;graden;-999999999;NVT;
